case_id,p_name,p_year,p_state,p_county,ylat,xlong,p_cap_ac,tiv,inverter_oem,racking_type,racking_oem,max_title_angle,module_oem,acrage,age,voltage,hail_claim_severity_multiple,storm_claim_severity_multiple,hurricane_claim_severity_multiple,fire_claim_severity_multiple,HAIL_1.0,HAIL_1.5,HAIL_2.0,HAIL_2.5,FIRE,HURRICANE,GUST_34,GUST_40,GUST_45,GUST_50,GUST_60,GUST_64,hail_expected_claim,fire_expected_claim,hurricane_expected_claim,storm_expected_claim,hail_technical_premium,fire_technical_premium,hurricane_technical_premium,storm_technical_premium
401476,"River Bend Solar, LLC",2016,AL,Lauderdale,34.833809,-87.838394,75,1500000000,1,single,2,48,4,375,9,600,0.340025952245048,0.7034772942225055,0.7034772942225055,0.7034772942225055,0.0016047594817801087,5.479666523151591e-4,3.9140475165368506e-5,3.9140475165368506e-5,3.9140475165368506e-5,8.219499784727387e-4,2.132869220990846e-5,0,0,0,0,0,0.25176158833586343,0.4924341059557538,0.1406954588445011,0.0736434809699549,4.040167960299973e-4,1.9274104894741627e-5,1.1564462936844978e-4,1.570719138874419e-6
401865,Fort Rucker Solar Array,2017,AL,Dale,31.331732,-85.729469,10.6,212000000,1,fixed,1,37,3,53,8,1000,1.0387704990736204,0.5774773757907908,0.5774773757907908,0.5774773757907908,7.436690281420016e-4,3.1312380132294805e-4,0,0,1.3046825055122835e-4,0.0015656190066147403,3.626539012493427e-5,0,0,0,0,0,0.7800583751506117,0.4042341630535536,0.11549547515815817,0.06139362191960613,5.801052537422843e-4,5.2739724066637124e-5,1.80821911085613e-4,2.226463650097232e-6
401866,ANAD Solar Array,2017,AL,Calhoun,33.626301,-85.94059,7.4,148000000,1,fixed,2,67,3,37,8,1000,0.24993258763357504,0.44716716478690094,0.44716716478690094,0.44716716478690094,0.0013699166307878977,4.696857019844221e-4,3.9140475165368506e-5,3.9140475165368506e-5,1.3046825055122835e-4,0.0012133547301264238,4.179728317659352e-5,0,0,0,0,0,0.18630943596743513,0.31301701535083065,0.0894334329573802,0.0460649032881945,2.5522839480450227e-4,4.0838782385589865e-5,1.0851447891028166e-4,1.9253878072390595e-6
402674,Redstone Arsenal Hybrid,2017,AL,Madison,34.611221,-86.624329,10,200000000,1,single,2,57,3,50,8,600,0.20708675241523603,0.6319875952126136,0.6319875952126136,0.6319875952126136,0.002544130885748953,8.610904536381071e-4,1.1742142549610553e-4,3.9140475165368506e-5,1.3046825055122835e-4,9.785118791342127e-4,0,0,0,0,0,0,0.15421817572576163,0.44239131664882947,0.12639751904252272,0.0661595858509213,3.9235122400776957e-4,5.7718021142227284e-5,1.2368147387620135e-4,1.411097443349315e-6
401807,Lafayette Solar Farm,2017,AL,Chambers,32.872425,-85.390289,79.2,1584000000,1,single,2,70,4,396,8,600,0.17573368857852556,0.6363890030124695,0.6363890030124695,0.6363890030124695,7.045285529766332e-4,3.522642764883166e-4,0,0,1.3046825055122835e-4,0.0012916356804571608,2.132869220990846e-5,0,0,0,0,0,0.13586722767180825,0.4454723021087286,0.1272778006024939,0.06662034697883792,9.572234130856584e-5,5.811999192515409e-5,1.6439654858829307e-4,1.4209248756289388e-6
402688,"Cumblerland Land Holdings, LLC",2018,AL,Limestone,34.950031,-86.867363,15.9,318000000,3,single,2,61,4,79.5,7,1000,0.18151856807325437,0.5227891674386789,0.5227891674386789,0.5227891674386789,0.0016047594817801087,8.610904536381071e-4,1.9570237582684254e-4,7.828095033073701e-5,1.3046825055122835e-4,9.002309288034757e-4,2.2494657518839275e-4,0,0,0,0,0,0.14477213995061547,0.36595241720707516,0.10455783348773579,0.05474983472242541,2.3232446428334705e-4,4.774517165800033e-5,9.412619555434354e-5,1.2315787812940143e-5
403007,Muscle Shoals,2021,AL,Colbert,34.763344,-87.919693,227,4540000000,4,single,1,73,3,1135,4,1000,0.16254506039815214,0.49689004660303665,0.49689004660303665,0.49689004660303665,0.0012916356804571608,3.914047516536851e-4,3.9140475165368506e-5,3.9140475165368506e-5,1.1742142549610553e-4,7.828095033073702e-4,0,0,0,0,0,0,0.12005523169099594,0.34782303262212566,0.09937800932060734,0.052016906574950075,1.5506762087764164e-4,4.084187631086841e-5,7.779405011593983e-5,1.1094525900486738e-6
401345,Fort Benning Solar Facility,2015,AL,Russell,32.303879,-84.990349,30,600000000,1,fixed,2,71,3,150,10,1000,0.21686037871264655,0.4295686888638687,0.4295686888638687,0.4295686888638687,0.0011742142549610551,5.871071274805276e-4,3.9140475165368506e-5,3.9140475165368506e-5,1.3046825055122835e-4,0.0014481975811186348,2.132869220990846e-5,0,0,0,0,0,0.1704149426180569,0.30069808220470806,0.08591373777277374,0.04496937402734261,2.0010365488049264e-4,3.923155272935771e-5,1.244200672273916e-4,9.59137937501442e-7
404620,Black Bear Solar 1,2020,AL,Montgomery,32.200626,-86.330238,100,2000000000,2,single,2,33,1,500,5,1000,0.33754702016429095,0.6011353423917288,0.6011353423917288,0.6011353423917288,0.0018396023327723198,9.785118791342127e-4,1.1742142549610553e-4,1.1742142549610553e-4,1.3046825055122835e-4,0.0012916356804571608,0,0,0,0,0,0,0.2716893885615604,0.42079473967421016,0.12022706847834577,0.0629298195000312,4.998004329873316e-4,5.490035352645376e-5,1.5528957140339782e-4,1.3422107509412608e-6
404683,OE_ALD,2020,AL,Covington,31.015305,-86.590851,80,1600000000,3,single,1,39,3,400,5,1000,0.4784660215301937,0.6157321668071442,0.6157321668071442,0.6157321668071442,0.0013307761556225293,8.219499784727387e-4,3.9140475165368506e-5,0,1.3046825055122835e-4,0.0016047594817801087,0,0,0,0,0,0,0.38006498074586936,0.4310125167650009,0.12314643336142883,0.06445788724278112,5.057814139637387e-4,5.623344902801165e-5,1.9762040658415523e-4,1.3748024375022634e-6
401400,SR Camden,2015,AR,Calhoun,33.637222,-92.703407,12.5,250000000,1,fixed,1,75,3,62.5,10,1000,0.31997489008030516,0.46782392874895207,0.46782392874895207,0.46782392874895207,7.045285529766332e-4,3.1312380132294805e-4,3.9140475165368506e-5,3.9140475165368506e-5,1.1742142549610553e-4,5.088261771497906e-4,7.880695540917035e-5,1.3907109778088884e-5,4.635703259362962e-6,0,0,0,0.2485745294351001,0.3274767501242664,0.09356478574979042,0.04982109707719366,1.7512785352975858e-4,3.845278681642331e-5,4.7608212248905065e-5,3.926248975798348e-6
